"University of Texas at San Antonio Schedule of Classes"
""
"These are the search criteria you submitted :"
"Term: Fall 2015"
"Subject:     CS "
"Course Number: %"
"Attributes: Any"
"Part of Term: Any"
Time Blocks: Any
"Campus: Any"
""
"FALL 2015 (201610)"
"Status","Subject","Course","Section","CRN","Title","Cred","Meeting Days","Times","Campus","Location","Instructor","Date","Weeks","Seats","Enrolled","Available","Final Exam","Fees","Notes","Comments"
"OPEN","CS","1023","001","17222","Cultural Implications-Info Soc",  3,"T","10:00-11:15am","Main Camp","TBA","Womack, David L.",08/18-12/12,17,115,0,115,To be determined by instructor ,  $117,W,Hybrid class. Meets in the classroom on Tuesday each week.
"OPEN","CS","1023","002","17224","Cultural Implications-Info Soc",  3,"R","10:00-11:15am","Main Camp","TBA","Womack, David L.",08/18-12/12,17,115,0,115,To be determined by instructor ,  $117,W,Hybrid class. Meets in the classroom on Thursday each week.
"OPEN","CS","1033","001","10450","Microcomputer Applications",  3,"TR","1:00-2:15pm","Main Camp","TBA","Womack, David L.",08/18-12/12,17,30,0,30,To be determined by instructor ,   $30,TW, 
"OPEN","CS","1063","001","10608","Intro to Comp Programming I",  3,"MWF","9:00-9:50am","Main Camp","TBA","Robbins, Steven",08/18-12/12,17,80,0,80,To be determined by instructor ,   $30,OW, 
"OPEN","CS","1063","002","10449","Intro to Comp Programming I",  3,"MWF","10:00-10:50am","Main Camp","TBA","Robinson, Mark A.",08/18-12/12,17,80,0,80,To be determined by instructor ,   $30,OW, 
"OPEN","CS","1063","003","10577","Intro to Comp Programming I",  3,"MWF","2:00-2:50pm","Main Camp","TBA","Park, Jae Hong",08/18-12/12,17,80,0,80,To be determined by instructor ,   $30,OW, 
"OPEN","CS","1063","004","17267","Intro to Comp Programming I",  3,"TR","8:30-9:45am","Main Camp","TBA","Zhu, Dakai",08/18-12/12,17,80,0,80,To be determined by instructor ,   $30,OW, 
"OPEN","CS","1063","005","15283","Intro to Comp Programming I",  3,"TR","11:30-12:45pm","Main Camp","TBA","Chronopoulos, Anthony",08/18-12/12,17,55,0,55,To be determined by instructor ,   $30,OW, 
"OPEN","CS","1143","001","14027","Web Design",  3,"MWF","3:00-3:50pm","Main Camp","TBA","Staff",08/18-12/12,17,80,0,80,To be determined by instructor ,   $30,W, 
"OPEN","CS","1153","001","16195","Game Programming",  3,"MW","4:00-5:15pm","Main Camp","TBA","Womack, David L.",08/18-12/12,17,80,0,80,To be determined by instructor ,   $30,W, 
"OPEN","CS","1173","001","17226","Data Analysis and Visua MATLAB",  3,"T","10:00-11:15am","Main Camp","TBA","Roberson, Dawnlee J.",08/18-12/12,17,80,0,80,To be determined by instructor ,  $117,OW,Hybrid class. Meets in the classroom on Tuesday each week.
"OPEN","CS","1173","002","17227","Data Analysis and Visua MATLAB",  3,"R","10:00-11:15am","Main Camp","TBA","Roberson, Dawnlee J.",08/18-12/12,17,80,0,80,To be determined by instructor ,  $117,OW,Hybrid class. Meets in the classroom on Thursday each week.
"OPEN","CS","1173","003","13310","Data Analysis and Visua MATLAB",  3,"TR","1:00-2:15pm","Main Camp","TBA","Roberson, Dawnlee J.",08/18-12/12,17,80,0,80,To be determined by instructor ,   $42,OW, 
"OPEN","CS","1173","004","13357","Data Analysis and Visua MATLAB",  3,"TR","4:00-5:15pm","Main Camp","TBA","Staff",08/18-12/12,17,80,0,80,To be determined by instructor ,   $42,OW, 
"OPEN","CS","1173","005","15284","Data Analysis and Visua MATLAB",  3,"MWF","12:00-12:50pm","Main Camp","TBA","Staff",08/18-12/12,17,80,0,80,To be determined by instructor ,   $42,OW, 
"OPEN","CS","1711","001","12173","Intro Comp Prog II Recitation",  1,"T","10:00-10:50am","Main Camp","TBA","Robinson, Mark A.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 1713.001 is required.
"OPEN","CS","1711","002","10431","Intro Comp Prog II Recitation",  1,"R","10:00-10:50am","Main Camp","TBA","Robinson, Mark A.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 1713.001 is required.
"OPEN","CS","1711","003","17271","Intro Comp Prog II Recitation",  1,"M","12:00-12:50pm","Main Camp","TBA","Clark, Larry W.",08/18-12/12,17,40,0,40,To be determined by instructor ,   $10,KO,Concurrent enrollment in CS 1713.002 is required.
